virus1,virus2
Epsilonarterivirus safriver,Sheartevirus
Betaarterivirus ninrav,Chibartevirus
Peiartevirus,Iotaarterivirus
Etaarterivirus ugarco 1,Etaarterivirus
Mibartevirus,Betaarterivirus
Blicbavirus,Bafinivirus
Deltaarterivirus,Simarterivirinae
Gresnaviridae,Arnidovirineae
Pimfabavirus,Bafinivirus
Dak Nong virus,Alphamesonivirus 1
Alphacoronavirus,Orthocoronavirinae
Reternivirinae,Gresnaviridae
Monidovirineae,니도바이러스목
Murine coronavirus,Embecovirus
Suncus murinus coronavirus X74,Sunacovirus
Sheartevirus,Epsilonarterivirus
Renitovirus,Torovirus
White bream virus,Bafinivirus
White bream virus,Blicbavirus
Chimshavirus,Chimanivirinae
Debiartevirus,Iotaarterivirus
Bostovirus,Remotovirinae
Wenilivirus,Charybnivirus
Bat SARS CoV Rm1,SARSr-CoV
Mesnidovirineae,니도바이러스목
SARS-CoV-2,SARSr-CoV
Nuarterivirus,Variarterivirinae
Etaarterivirus,Simarterivirinae
SARS coronavirus B024,SARSr-CoV
Heroarterivirinae,Arteriviridae
Zetaarterivirus,Simarterivirinae
Mesoniviridae,Mesnidovirineae
Mesoniviridae,니도바이러스목
Buldecovirus,Deltacoronavirus
Equarterivirinae,Arteriviridae
Kigiartevirus,Iotaarterivirus
Pipistrellus kuhlii coronavirus 3398,Nyctacovirus
RmYN02,SARSr-CoV
London1 novel CoV/2012,Middle East respiratory syndrome coronavirus
Tilitovirus,Tiruvirus
Tilitovirus,Pregotovirus
Kappaarterivirus wobum,Kappaarterivirus
Rebatovirus,Lyctovirus
Ptyasnivirus 1,Cyclophivirus
Roniviridae,니도바이러스목
Roniviridae,Ronidovirineae
Rc-o319,SARSr-CoV
Porcine epidemic diarrhea virus,Pedacovirus
Human coronavirus HKU1 (isolate N1),Human coronavirus HKU1
Epsilonarterivirus zamalb,Sheartevirus
Kukrinivirus,Gofosavirinae
Iotaarterivirus debrazmo,Debiartevirus
Herdecovirus,Deltacoronavirus
Rodepovirinae,Cremegaviridae
Moordecovirus,Deltacoronavirus
Crocarterivirinae,Arteriviridae
Betaarterivirus timiclar,Micartevirus
Betaarterivirus timiclar,Mibartevirus
SARSr-CoV,Betacoronavirus
SARSr-CoV,Sarbecovirus
